,success,reward,,,,,0.740294991
517,0.769230769,-1.288319231,,,,,
518,0.761538462,-1.5222,,,,,
519,0.876923077,-1.26265,,,,,
520,0.792307692,-1.381576923,,,,,
521,0.769230769,-1.455961538,,,,,
522,0.823076923,-1.415453846,,,,,
523,0.807692308,-1.385034615,,,,,
524,0.807692308,-1.364873077,,,,,
525,0.869230769,-1.167646154,,,,,
526,0.8,-1.528826923,,,,,
527,0.784615385,-1.472519231,,,,,
528,0.846153846,-1.267684615,,,,,
529,0.753846154,-1.599153846,,,,,
530,0.8,-1.430742308,,,,,
531,0.838461538,-1.411388462,,,,,
532,0.776923077,-1.475988462,,,,,
533,0.838461538,-1.225665385,,,,,
534,0.876923077,-1.190511538,,,,,
535,0.8,-1.291130769,,,,,
536,0.769230769,-1.435480769,,,,,
537,0.746153846,-1.703373077,,,,,
538,0.869230769,-1.107969231,,,,,
539,0.8,-1.216503846,,,,,
540,0.876923077,-1.160792308,,,,,
541,0.830769231,-1.298607692,,,,,
542,0.807692308,-1.3046,,,,,
543,0.838461538,-1.600903846,,,,,
544,0.807692308,-1.3664,,,,,
545,0.769230769,-1.36825,,,,,
546,0.846153846,-1.234380769,,,,,
547,0.761538462,-1.365903846,,,,,
548,0.753846154,-1.406092308,,,,,
549,0.8,-1.40715,,,,,
550,0.815384615,-1.216742308,,,,,
551,0.761538462,-1.559557692,,,,,
552,0.792307692,-1.355334615,,,,,
553,0.753846154,-1.441480769,,,,,
554,0.784615385,-1.603592308,,,,,
555,0.823076923,-1.464046154,,,,,
556,0.792307692,-1.361407692,,,,,
557,0.784615385,-1.466692308,,,,,
558,0.792307692,-1.435553846,,,,,
559,0.8,-1.429153846,,,,,
560,0.876923077,-1.10155,,,,,
561,0.776923077,-1.3991,,,,,
562,0.907692308,-1.113865385,,,,,
563,0.807692308,-1.355807692,,,,,
564,0.730769231,-1.467711538,,,,,
565,0.823076923,-1.261019231,,,,,
566,0.846153846,-1.199161538,,,,,
567,0.776923077,-1.5485,,,,,
568,0.8,-1.353192308,,,,,
569,0.8,-1.349019231,,,,,
570,0.753846154,-1.511753846,,,,,
571,0.846153846,-1.303607692,,,,,
572,0.830769231,-1.231130769,,,,,
573,0.861538462,-1.268842308,,,,,
574,0.815384615,-1.453553846,,,,,
575,0.830769231,-1.375903846,,,,,
576,0.815384615,-1.3404,,,,,
577,0.738461538,-1.525538462,,,,,
578,0.830769231,-1.249923077,,,,,
579,0.807692308,-1.495780769,,,,,
580,0.753846154,-1.600296154,,,,,
581,0.784615385,-1.44895,,,,,
582,0.807692308,-1.425761538,,,,,
583,0.8,-1.432334615,,,,,
584,0.807692308,-1.338911538,,,,,
585,0.892307692,-1.132684615,,,,,
586,0.838461538,-1.328723077,,,,,
587,0.838461538,-1.282242308,,,,,
588,0.846153846,-1.182138462,,,,,
589,0.807692308,-1.439996154,,,,,
590,0.838461538,-1.306946154,,,,,
591,0.8,-1.278846154,,,,,
592,0.784615385,-1.429207692,,,,,
593,0.8,-1.386688462,,,,,
594,0.861538462,-1.277873077,,,,,
595,0.884615385,-1.300115385,,,,,
596,0.815384615,-1.268369231,,,,,
597,0.823076923,-1.415615385,,,,,
598,0.830769231,-1.248815385,,,,,
599,0.769230769,-1.346861538,,,,,
600,0.792307692,-1.386365385,,,,,
601,0.753846154,-1.471846154,,,,,
602,0.776923077,-1.617230769,,,,,
603,0.823076923,-1.387419231,,,,,
604,0.838461538,-1.207484615,,,,,
605,0.861538462,-1.383923077,,,,,
606,0.823076923,-1.323503846,,,,,
607,0.792307692,-1.325792308,,,,,
608,0.838461538,-1.280646154,,,,,
609,0.776923077,-1.391273077,,,,,
